頻道 ID,頻道網址,頻道名稱
UC1fLEeYICmo3O9cUsqIi7HA,http://www.youtube.com/channel/UC1fLEeYICmo3O9cUsqIi7HA,Nick White
UC29ju8bIPH5as8OGnQzwJyA,http://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA,Traversy Media
UC2K7XnZl7hBC4sRjg7I5pzA,http://www.youtube.com/channel/UC2K7XnZl7hBC4sRjg7I5pzA,張翔老師
UC2UXDak6o7rBm23k3Vv5dww,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang
UC2ggjtuuWvxrHHHiaDH1dlQ,http://www.youtube.com/channel/UC2ggjtuuWvxrHHHiaDH1dlQ,Hung-yi Lee
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UCA0H2KIWgWTwpTFjSxp0now,http://www.youtube.com/channel/UCA0H2KIWgWTwpTFjSxp0now,the roadmap
UCAWsBMQY4KSuOuGODki-l7A,http://www.youtube.com/channel/UCAWsBMQY4KSuOuGODki-l7A,Data Interview Pro
UCB9ryAh6vhavNxALJUJT6-Q,http://www.youtube.com/channel/UCB9ryAh6vhavNxALJUJT6-Q,哈佛姐夢遊矽谷 AliceInSiliconWonderland
UCBa5G_ESCn8Yd4vw5U-gIcg,http://www.youtube.com/channel/UCBa5G_ESCn8Yd4vw5U-gIcg,stanfordonline
UCBb3riVNKeNBnh8FqeBPawg,http://www.youtube.com/channel/UCBb3riVNKeNBnh8FqeBPawg,小巧小马
UCBr_Fu6q9iHYQCh13jmpbrg,http://www.youtube.com/channel/UCBr_Fu6q9iHYQCh13jmpbrg,Errichto
UCCb9_Kn8F_Opb3UCGm-lILQ,http://www.youtube.com/channel/UCCb9_Kn8F_Opb3UCGm-lILQ,Microsoft Research
UCDS20hpBFiv_Kdp5Ibh0vew,http://www.youtube.com/channel/UCDS20hpBFiv_Kdp5Ibh0vew,Open Data Science
UCDVYMs-SYiJxhIU2T0e7gzw,http://www.youtube.com/channel/UCDVYMs-SYiJxhIU2T0e7gzw,Aoxiang Cui
UCEBpSZhI1X8WaP-kY_2LLcg,http://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
UCEDkO7wshcDZ7UZo17rPkzQ,http://www.youtube.com/channel/UCEDkO7wshcDZ7UZo17rPkzQ,mayuko
UCFYjbwn242vcA_y34vzCSfQ,http://www.youtube.com/channel/UCFYjbwn242vcA_y34vzCSfQ,Yen-Lung Tsai
UCFbNIlppjAuEX4znoulh0Cw,http://www.youtube.com/channel/UCFbNIlppjAuEX4znoulh0Cw,Web Dev Simplified
UCFdTiwvDjyc62DBWrlYDtlQ,http://www.youtube.com/channel/UCFdTiwvDjyc62DBWrlYDtlQ,大數軟體有限公司
UCHyVYHSYzWbWwf8z1Vbi6Ug,http://www.youtube.com/channel/UCHyVYHSYzWbWwf8z1Vbi6Ug,PhD and Productivity
UCJ52xpIoq5aKaIU_ZP40-nQ,http://www.youtube.com/channel/UCJ52xpIoq5aKaIU_ZP40-nQ,House of El
UCJublDh2UsiIKsAE1553miw,http://www.youtube.com/channel/UCJublDh2UsiIKsAE1553miw,Greg Hogg
UCK8sQmJBp8GCxrOtXWBpyEA,http://www.youtube.com/channel/UCK8sQmJBp8GCxrOtXWBpyEA,Google
UCKMjvg6fB6WS5WrPtbV4F5g,http://www.youtube.com/channel/UCKMjvg6fB6WS5WrPtbV4F5g,Kylie Ying
UCKuDLsO0Wwef53qdHPjbU2Q,http://www.youtube.com/channel/UCKuDLsO0Wwef53qdHPjbU2Q,William Lin
UCMXFGmpqKAowZMbvz2O2aEw,http://www.youtube.com/channel/UCMXFGmpqKAowZMbvz2O2aEw,SITCON 學生計算機年會
UCOf7UPMHBjAavgD0Qw5q5ww,http://www.youtube.com/channel/UCOf7UPMHBjAavgD0Qw5q5ww,HackerRank
UCU9GTVEPqlSNRDHypVf3BRw,http://www.youtube.com/channel/UCU9GTVEPqlSNRDHypVf3BRw,DATAcated
UCV0qA-eDDICsRR9rPcnG7tw,http://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
UCV8e2g4IWQqK71bbzGDEI4Q,http://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
UCWElRq0YXcjo4YJD0TNPh5g,http://www.youtube.com/channel/UCWElRq0YXcjo4YJD0TNPh5g,NYC Data Science Academy
UCWIzrKzN4KY6BPU8hsk880Q,http://www.youtube.com/channel/UCWIzrKzN4KY6BPU8hsk880Q,Life at Google
UCWN3xxRkmTPmbKwht9FuE5A,http://www.youtube.com/channel/UCWN3xxRkmTPmbKwht9FuE5A,Siraj Raval
UC_530TqXXizuzA5Ut8wFp4w,http://www.youtube.com/channel/UC_530TqXXizuzA5Ut8wFp4w,新加坡商鈦坦科技
UC_fyAp919RnkKmBrMXGwnUQ,http://www.youtube.com/channel/UC_fyAp919RnkKmBrMXGwnUQ,Google Career Certificates
UC_whOg3XES3Fihic53fvo4Q,http://www.youtube.com/channel/UC_whOg3XES3Fihic53fvo4Q,HackBear 泰瑞
UCa5IByUkweTJ2dKeFs_Uhug,http://www.youtube.com/channel/UCa5IByUkweTJ2dKeFs_Uhug,DIGI Bigdata
UCcIXc5mJsHVYTZR1maL5l9w,http://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
UCcU6CC2Gkc18aBUfEtdjaAA,http://www.youtube.com/channel/UCcU6CC2Gkc18aBUfEtdjaAA,維思維WeisWay
UCcabW7890RKJzL968QWEykA,http://www.youtube.com/channel/UCcabW7890RKJzL968QWEykA,CS50
UCckNPGDL21aznRhl3EijRQw,http://www.youtube.com/channel/UCckNPGDL21aznRhl3EijRQw,Mark Chang
UCdoadna9HFHsxXWhafhNvKw,http://www.youtube.com/channel/UCdoadna9HFHsxXWhafhNvKw,AWS Events
UCdyjiB5H8Pu7aDTNVXTTpcg,http://www.youtube.com/channel/UCdyjiB5H8Pu7aDTNVXTTpcg,莫烦Python
UCguZS-y7codLSt6vpkVdnKg,http://www.youtube.com/channel/UCguZS-y7codLSt6vpkVdnKg,彭彭的課程
UCi6kvHMfOmuGob9HKyPSaBQ,http://www.youtube.com/channel/UCi6kvHMfOmuGob9HKyPSaBQ,啃芝士
UCiT9RITQ9PW6BhXK0y2jaeg,http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,Ken Jee
UCiZotp9tZ4uXgXEjHDUYzBQ,http://www.youtube.com/channel/UCiZotp9tZ4uXgXEjHDUYzBQ,Chimi & John
UCmqYwpOSAF58fi6SRHaQhSA,http://www.youtube.com/channel/UCmqYwpOSAF58fi6SRHaQhSA,Google Developers Taiwan - Google 開發人員台灣頻道
UCnVzApLJE2ljPZSeQylSEyg,http://www.youtube.com/channel/UCnVzApLJE2ljPZSeQylSEyg,Data School
UCoZjInIXnuYCXlB8EAmKmgA,http://www.youtube.com/channel/UCoZjInIXnuYCXlB8EAmKmgA,矽谷資深女工程師
UCp9HzTuW6ee-SbGaMphzqeA,http://www.youtube.com/channel/UCp9HzTuW6ee-SbGaMphzqeA,Cupoy AI知識特助
UCqd6TofKNjqagInm5Waeu7w,http://www.youtube.com/channel/UCqd6TofKNjqagInm5Waeu7w,Springboard
UCts-XMcexTiPSR8QbyRGFxA,http://www.youtube.com/channel/UCts-XMcexTiPSR8QbyRGFxA,Yacine Mahdid
UCtxCXg-UvSnTKPOzLH4wJaQ,http://www.youtube.com/channel/UCtxCXg-UvSnTKPOzLH4wJaQ,Coding Tech
UCtyYTpFBzWdoSFx2Gl2VNbQ,http://www.youtube.com/channel/UCtyYTpFBzWdoSFx2Gl2VNbQ,Google Students
UCu1lb_YUHcJFoc7lraETxvQ,http://www.youtube.com/channel/UCu1lb_YUHcJFoc7lraETxvQ,土妹土妹
UCvjgXvBlbQiydffZU7m1_aw,http://www.youtube.com/channel/UCvjgXvBlbQiydffZU7m1_aw,The Coding Train
UCxX9wt5FWQUAAz4UrysqK9A,http://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A,CS Dojo
UCyB2RBqKbxDPGCs1PokeUiA,http://www.youtube.com/channel/UCyB2RBqKbxDPGCs1PokeUiA,Vivian NTU MiuLab
UCzA9N88hp07JUHvtMu2EXvw,http://www.youtube.com/channel/UCzA9N88hp07JUHvtMu2EXvw,Women in Data Science Bogota

